Год,GPS №,Тип обработки,повторность,"Содержание 0.25–10 мм, %","Содержание >10, %","Содержание <0.25, %",Коэф. структурности,"СВД, мм","СВД водоустойчивые 10-7, мм","СВД водоустойчивые 5-3, мм","СВД водоустойчивые 7-5, мм","СВД водоустойчивые >10, мм"
2019,,ПП,1,0.4036841073878111,0.5880854399372918,0.00823045267489712,0.6769635228393033,9.106995884773662,1.3337499999999949,0.83125,1.120187499999999,0.9325625000000033
2019,,ПП,2,0.44737827715355805,0.5269662921348315,0.025655430711610486,0.8095560826838359,8.386025280898876,2.0114374999999933,0.8528124999999999,1.1856250000000026,2.7148125000000056
2019,,ПП,3,0.5020541153137839,0.49114605468196626,0.006799830004249894,1.0082503556187767,8.30078623034424,3.2073749999999954,1.0965624999999999,1.5068125000000006,2.732187499999998
2019,,ПП,4,0.32171156893819336,0.6696441434951736,0.00864428756663305,0.4742990654205608,9.82594366805936,2.1835000000000027,0.8726249999999998,1.3360624999999988,6.4199374999999925
2019,,ПП,5,0.4457016696564096,0.5486408168897475,0.00565751345384297,0.804082648742843,8.849472195391195,1.7728124999999921,0.785625000000001,1.1324374999999967,3.675625
2019,,ТТ,1,0.31105691056910567,0.6741463414634147,0.014796747967479675,0.45149870191172997,9.826951219512193,2.4019374999999967,1.0146250000000028,1.616687499999997,4.966687499999991
2019,,ТТ,2,0.6311610982467748,0.35229904068805823,0.016539861065167052,1.7112107623318387,6.609721303341052,1.598499999999999,1.1401874999999984,1.2424375000000019,2.415000000000008
2019,,ТТ,3,0.2578534031413613,0.7299925205684368,0.012154076290201944,0.3474426807760141,10.358241398653702,3.200937499999994,0.8805624999999989,1.4698749999999983,8.581125000000002
2019,,ТТ,4,0.44945332211942807,0.544659377628259,0.005887300252312868,0.8163764130766881,8.622014297729185,2.743687500000009,1.1927500000000029,1.7545000000000044,4.9008125000000184
2019,,ТТ,5,0.5170670037926675,0.4758894708325808,0.007043525374751671,1.0706806282722514,7.898252663897418,3.3802499999999998,1.0606250000000008,1.7061874999999995,5.236937499999992
