Год,GPS №,Тип обработки,повторность,"Содержание 0.25–10 мм, %","Содержание >10, %","Содержание <0.25, %",Коэф. структурности,"СВД, мм"
14154,645,ПП,1,0.0728862973760933,0.9257884972170687,0.0013252054068380599,0.07861635220125786,12.3760270341903
14154,645,ПП,2,0.24119285597247256,0.7522529903326233,0.006554153694904146,0.317857914057439,10.916475503850565
14154,645,ПП,3,0.20831519373095342,0.7862429255550718,0.00544188071397475,0.2631289524333242,11.21362102742708
14154,645,ПП,4,0.38008565310492504,0.6062633832976445,0.013650963597430408,0.613126079447323,9.70734073875803
14154,645,ПП,5,0.2320794889992903,0.76129642772652,0.006624083274189733,0.3022181146025878,10.911639460610361
14154,646,ТТ,1,0.33629160063391444,0.6310618066561015,0.03264659270998415,0.5066857688634193,9.489540412044374
14154,646,ТТ,2,0.1834754975748453,0.8004683057367453,0.016056196688409432,0.22470299057763213,11.129202207727046
14154,646,ТТ,3,0.23369696969696968,0.744,0.022303030303030304,0.304966782663714,10.548666666666668
14154,646,ТТ,4,0.32142857142857145,0.6571821036106751,0.021389324960753534,0.47368421052631576,9.774013932496077
14154,646,ТТ,5,0.33381364073006725,0.6479346781940442,0.01825168107588857,0.5010814708002884,9.801272814601344
14154,647,ПП,1,0.22881002087682673,0.7647181628392484,0.006471816283924844,0.2966973470492691,11.024347599164926
14154,647,ПП,2,0.5166441136671177,0.4679296346414073,0.015426251691474966,1.0688689809630458,8.552334235453316
14154,647,ПП,3,0.4438591627391184,0.5458830052675353,0.010257831993346272,0.7981056829511466,9.190220404768505
14154,647,ПП,4,0.30106221547799694,0.6895295902883156,0.009408194233687404,0.4307425097698654,10.239567526555387
14154,647,ПП,5,0.4208704253214639,0.5670128585558852,0.01211671612265084,0.726729291204099,9.332560583580614
28273,XVIII,ТТ,1,0.3460788138899727,0.6348029652750683,0.01911822083495903,0.529236276849642,9.740318962153726
28273,XVIII,ТТ,2,0.5667346476319963,0.4076591887604804,0.025606163607523227,1.3080543933054394,7.649558123725357
28273,XVIII,ТТ,3,0.453153704837722,0.518677281077771,0.028169014084507043,0.8286674132138858,8.598463972239232
28273,XVIII,ТТ,4,0.31298299845440497,0.6724884080370943,0.014528593508500772,0.45556805399325084,9.899961360123648
28273,XVIII,ТТ,5,0.2523556621552167,0.7346239506595854,0.013020387185197876,0.33753437213565535,10.66076323453829
28273,XX,ПП,1,0.4489477786438036,0.5268901013250196,0.024162120031176928,0.8147100424328148,8.695849571317225
28273,XX,ПП,2,0.31989281612862064,0.6683679979584025,0.011739185912976905,0.4703564727954972,10.082301901237718
28273,XX,ПП,3,0.3805400948258091,0.6039991754277468,0.015460729746444031,0.6143094841930117,9.532802514945372
28273,XX,ПП,4,0.4716000716717434,0.5135280415696112,0.014871886758645404,0.8925059342149881,8.746304425730155
28273,XX,ПП,5,0.22239310981236543,0.7666871731774838,0.010919717010150723,0.285996835443038,10.88453552752999
